Cost Category,Cost Sub Category,Cost Item,Description,Cost,Source,Justification
Direct costs,Personell,Other,Salary Scientific Assistant,,ORD,
Direct costs,Personell,Other,Salary Scientific Assistant,,In-kind,
Subcontracting costs,Personell,Other,Salary WASHNote,,ORD,
Direct costs,Other,Conferences & workshops,"Costs for hosting a session at Stockholm World Water Week 2024 (58,000 SEK excl. VAT)",,ORD,
Direct costs,Other,Conferences & workshops,Expenses for hosting session at World Water Week 2024,,In-kind,
NA,NA,NA,NA,,NA,
NA,NA,NA,NA,,NA,
NA,NA,NA,NA,,Source,
NA,NA,NA,NA,,ORD,
NA,NA,NA,NA,,In-kind,
NA,NA,NA,NA,,Total,
