wp,name,project_activity,lead,q1,q2,q3,q4
WP1,Setup of discussion group around using data better,TODO,XY,NA,NA,NA,NA
WP1,Setup of discussion group around using data better,TODO,XY,NA,NA,NA,NA
WP1,Setup of discussion group around using data better,TODO,XY,NA,NA,NA,NA
WP2,Faciliation of a webinar,TODO,XY,NA,NA,NA,NA
WP2,Faciliation of a webinar,TODO,XY,NA,NA,NA,NA
WP2,Faciliation of a webinar,TODO,XY,NA,NA,NA,NA
WP3,Setting up a linked data registry of data providers and the datasets,TODO,XY,NA,NA,NA,NA
WP3,Setting up a linked data registry of data providers and the datasets,TODO,XY,NA,NA,NA,NA
WP3,Setting up a linked data registry of data providers and the datasets,TODO,XY,NA,NA,NA,NA
WP4,Setting up a simple facilitation bot for the matrix chat,TODO,XY,NA,NA,NA,NA
WP4,Setting up a simple facilitation bot for the matrix chat,TODO,XY,NA,NA,NA,NA
WP4,Setting up a simple facilitation bot for the matrix chat,TODO,XY,NA,NA,NA,NA
